O	"""Oh"
O	,
O	""""
O	he
O	thought
O	,
O	"""how"
O	I
O	would
O	like
O	to
O	bring
O	that
O	song
O	to
O	earth
O	!
O	""""
O	But
O	he
O	was
O	so
O	small
O	,
O	and
O	his
O	wings
O	were
O	so
O	tired
O	!
O	Then
O	an
O	idea
O	popped
O	into
O	the
O	little
O	brown
O	head
O	of
O	the
O	thrush
O	.
O	He
O	hopped
O	softly
O	to
O	the
O	back
O	of
O	the
O	eagle
O	,
O	and
O	hid
O	in
O	the
O	thick
O	feathers
O	near
O	the
O	neck
O	.
O	So
O	small
O	and
O	light
O	was
O	the
O	thrush
O	,
O	that
O	the
O	eagle
O	did
O	not
O	feel
O	his
O	weight
O	.
O	He
O	did
O	not
O	know
O	that
O	the
O	little
O	brown
O	thrush
O	was
O	on
O	his
O	back
O	,
O	--and
O	the
O	other
O	birds
O	did
O	not
O	tell
O	him
O	.
O	The
O	eagle
O	spread
O	his
O	great
O	wings
O	.
O	Up
O	,
O	and
O	up
O	,
O	and
O	up
O	,
O	they
O	soared
O	.
O	The
O	council
O	wood
O	became
O	a
O	little
O	speck
O	and
O	then
O	was
O	seen
O	no
O	more
O	.
O	Over
O	,
O	and
O	under
O	,
O	and
O	through
O	the
O	clouds
O	,
O	on
O	,
O	and
O	on
O	,
O	and
O	on
O	,
O	they
O	sailed
O	,
O	along
O	the
O	Great
O	Sky
O	Trail
O	.
O	At
O	last
O	the
O	eagle's
O	strength
O	began
O	to
O	fail
O	.
O	He
O	could
O	go
O	no
O	further
O	.
O	The
O	great
O	wings
O	of
O	the
O	chief
O	of
O	birds
O	could
O	beat
O	the
O	air
O	no
O	longer
O	.
O	They
O	fell
O	at
O	his
O	side
O	.
O	The
O	little
O	brown
O	thrush
O	felt
O	the
O	eagle
O	quiver
O	and
O	begin
O	to
O	drop
O	toward
O	the
O	earth
O	.
O	Then
O	away
O	flew
O	the
O	little
O	brown
O	thrush
O	.
O	The
O	air
O	was
O	so
O	light
O	it
O	seemed
O	easy
O	to
O	fly
O	.
O	On
O	and
O	on
O	he
O	went
O	,
O	for
O	he
O	was
O	not
O	tired
O	.
O	He
O	had
O	had
O	a
O	ride
O	almost
O	to
O	heaven
O	.
O	"""Now"
O	,
O	""""
O	he
O	thought
O	,
O	"""I"
O	will
O	go
O	on
O	and
O	will
O	get
O	the
O	song
O	.
O	""""
O	For
O	some
O	time
O	,
O	the
O	little
O	brown
O	thrush
O	flew
O	along
O	the
O	Great
O	Sky
O	Trail
O	.
O	All
O	at
O	once
O	the
O	air
O	seemed
O	full
O	of
O	song
O	.
O	He
O	knew
O	he
O	was
O	nearing
O	the
O	Happy
O	Hunting
O	Ground
O	.
O	He
O	listened
O	.
O	One
O	song
O	seemed
O	more
O	beautiful
O	to
O	him
O	than
O	the
O	rest
O	.
O	Again
O	and
O	again
O	he
O	listened
O	.
O	He
O	caught
O	the
O	notes
O	.
O	He
O	sang
O	them
O	many
O	times
O	,
O	until
O	he
O	was
O	sure
O	that
O	he
O	could
O	carry
O	the
O	song
O	to
O	earth
O	.
O	Then
O	down
O	,
O	and
O	down
O	,
O	and
O	down
O	,
O	he
O	floated
O	,
O	through
O	clouds
O	and
O	storms
O	and
O	sunshine
O	,
O	back
O	to
O	Mother
O	Earth
O	.
O	Very
O	happy
O	,
O	he
O	flew
O	toward
O	the
O	council
O	wood
O	.
O	He
O	was
O	so
O	full
O	of
O	his
O	beautiful
O	song
O	and
O	the
O	wonderful
O	Sky
O	Trail
O	,
O	he
O	thought
O	he
O	must
O	pour
O	out
O	his
O	song
O	at
O	once
O	.
O	But
O	when
O	he
O	reached
O	the
O	council
O	wood
O	,
O	he
O	dared
O	not
O	open
O	his
O	mouth
O	!
O	He
O	remembered
O	that
O	he
O	had
O	stolen
O	his
O	ride
O	part
O	way
O	to
O	heaven
O	,
O	--and
O	he
O	knew
O	the
O	other
O	birds
O	knew
O	it
O	.
O	But
O	that
O	song
O	!
O	he
O	must
O	sing
O	it
O	!
O	He
O	thought
O	his
O	throat
O	would
O	burst
O	,
O	if
O	he
O	did
O	not
O	sing
O	!
O	So
O	the
O	little
O	brown
O	thrush
O	flew
O	off
O	by
O	himself
O	,
O	into
O	a
O	deep
O	,
O	dark
O	part
O	of
O	the
O	wood
O	.
O	There
O	,
O	hidden
O	by
O	the
O	brush
O	and
O	the
O	bushes
O	,
O	he
O	poured
O	forth
O	the
O	song
O	he
O	had
O	heard
O	on
O	the
O	Great
O	Sky
O	Trail
O	.
O	Men
O	hearing
O	it
O	to-day
O	,
O	say
O	,
O	"""Listen"
O	,
O	a
O	hermit
O	thrush
O	!
O	What
O	a
O	beautiful
O	song
O	!
O	But
O	he
O	is
O	such
O	a
O	shy
O	bird
O	,
O	one
O	seldom
O	can
O	catch
O	a
O	glimpse
O	of
O	him
O	.
O	""""
O	They
O	do
O	not
O	know
O	why
O	he
O	keeps
O	so
O	close
O	under
O	cover
O	.
